start_date,end_date,duration_hours,duration_minutes,war_id,faction_id,faction_name,won,score,total_war_score,attacks,rank_before,rank_after,member_count,participating_member_count,reward_respect,reward_points,Small Arms Cache,Armor Cache,Melee Cache,Medium Arms Cache,Heavy Arms Cache,forfeit,score_pct_of_war_total,faction_total_wins,faction_total_wars,faction_win_percentage,rank_number_before,rank_number_after,total_cache_value
2025-02-01 00:00:00,2025-02-03 13:35:04,61.58,3695.0,21665,41234,Peaky CS,True,7066,9169,969,Platinum I,Platinum II,42,37,8432,2783,2.0,4.0,3.0,0.0,1.0,False,0.771,8,16,0.5,14,15,2227.0
2025-02-01 00:00:00,2025-02-03 13:35:04,61.58,3695.0,21665,46144,SKS MUTATED,False,2103,9169,258,Platinum,Gold III,40,13,3520,1162,0.0,1.0,2.0,1.0,0.0,False,0.229,4,12,0.3333333333333333,13,12,765.0
2025-05-23 19:00:00,2025-05-24 13:45:43,18.76,1126.0,25764,8677,Mana,False,3416,14736,346,Platinum II,Platinum I,41,31,4330,0,1.0,1.0,2.0,2.0,0.0,False,0.232,16,25,0.64,15,14,1066.0
2025-05-23 19:00:00,2025-05-24 13:45:43,18.76,1126.0,25764,15083,Leeches,True,11320,14736,1136,Platinum III,Platinum III,35,30,9616,0,2.0,2.0,7.0,3.0,0.0,False,0.768,11,13,0.8461538461538461,16,16,2341.0
2025-03-15 15:00:00,2025-03-17 19:36:34,52.61,3157.0,23209,51915,Faster Than Light,False,1084,4879,244,Silver I,Silver,28,19,1465,0,2.0,0.0,1.0,0.0,0.0,False,0.222,6,12,0.5,6,5,355.0
2025-03-15 15:00:00,2025-03-17 19:36:34,52.61,3157.0,23209,52728,Night City,True,3795,4879,704,Silver,Silver I,20,12,2347,0,1.0,0.0,0.0,2.0,0.0,False,0.778,7,13,0.5384615384615384,5,6,491.0
2025-04-05 19:00:00,2025-04-06 21:27:50,26.46,1588.0,23973,50884,The White Wolves,True,2318,2497,540,Bronze II,Bronze III,21,19,2004,0,0.0,1.0,0.0,1.0,0.0,False,0.928,7,12,0.5833333333333334,3,4,499.0
2025-04-05 19:00:00,2025-04-06 21:27:50,26.46,1588.0,23973,51536,MTYB,False,179,2497,52,Bronze I,Bronze,19,4,162,0,0.0,0.0,0.0,0.0,0.0,False,0.072,0,2,0.0,2,1,0.0
2025-02-28 02:00:00,2025-03-01 18:13:16,40.22,2413.0,22580,50553,The-Empire,False,333,2202,92,Bronze III,Bronze III,13,4,437,0,1.0,0.0,0.0,0.0,0.0,False,0.151,1,6,0.16666666666666666,4,4,111.0
2025-02-28 02:00:00,2025-03-01 18:13:16,40.22,2413.0,22580,53249,55th St Asylum,True,1869,2202,266,Bronze II,Bronze III,12,12,1718,0,0.0,0.0,1.0,1.0,0.0,False,0.849,11,16,0.6875,3,4,323.0
